experiment,method,n,repeat,operations,target,hits,total_ms
lookup,std_find,100000,0,100,89383,100,25.919076
lookup,unordered_map_find,100000,0,100,89383,100,0.003819
lookup,std_find,200000,0,100,130886,100,37.78465
lookup,unordered_map_find,200000,0,100,130886,100,0.003939
lookup,std_find,400000,0,100,92777,100,26.685837
lookup,unordered_map_find,400000,0,100,92777,100,0.004091
lookup,std_find,800000,0,100,1036915,0,230.448151
lookup,unordered_map_find,800000,0,100,1036915,0,0.002828
pop,erase_begin,2500000,0,100,-1,-1,21.015089
pop,pop_back,2500000,0,100,-1,-1,0.000382
pop,erase_begin,5000000,0,100,-1,-1,52.876722
pop,pop_back,5000000,0,100,-1,-1,0.000233
pop,erase_begin,7500000,0,100,-1,-1,116.514022
pop,pop_back,7500000,0,100,-1,-1,0.00022
pop,erase_begin,10000000,0,100,-1,-1,233.384569
pop,pop_back,10000000,0,100,-1,-1,0.000227
lookup,std_find,100000,1,100,89383,100,26.389317
lookup,unordered_map_find,100000,1,100,89383,100,0.005045
lookup,std_find,200000,1,100,130886,100,38.353917
lookup,unordered_map_find,200000,1,100,130886,100,0.004304
lookup,std_find,400000,1,100,92777,100,26.51789
lookup,unordered_map_find,400000,1,100,92777,100,0.004134
lookup,std_find,800000,1,100,1036915,0,238.060026
lookup,unordered_map_find,800000,1,100,1036915,0,0.003027
pop,erase_begin,2500000,1,100,-1,-1,20.453267
pop,pop_back,2500000,1,100,-1,-1,0.000207
pop,erase_begin,5000000,1,100,-1,-1,47.249394
pop,pop_back,5000000,1,100,-1,-1,0.000322
pop,erase_begin,7500000,1,100,-1,-1,117.519559
pop,pop_back,7500000,1,100,-1,-1,0.000243
pop,erase_begin,10000000,1,100,-1,-1,200.834593
pop,pop_back,10000000,1,100,-1,-1,0.000208
lookup,std_find,100000,2,100,89383,100,25.631581
lookup,unordered_map_find,100000,2,100,89383,100,0.004098
lookup,std_find,200000,2,100,130886,100,37.275158
lookup,unordered_map_find,200000,2,100,130886,100,0.00384
lookup,std_find,400000,2,100,92777,100,26.783695
lookup,unordered_map_find,400000,2,100,92777,100,0.003801
lookup,std_find,800000,2,100,1036915,0,227.980532
lookup,unordered_map_find,800000,2,100,1036915,0,0.00275
pop,erase_begin,2500000,2,100,-1,-1,20.722891
pop,pop_back,2500000,2,100,-1,-1,0.000322
pop,erase_begin,5000000,2,100,-1,-1,48.221877
pop,pop_back,5000000,2,100,-1,-1,0.000377
pop,erase_begin,7500000,2,100,-1,-1,102.044373
pop,pop_back,7500000,2,100,-1,-1,0.000322
pop,erase_begin,10000000,2,100,-1,-1,176.68435
pop,pop_back,10000000,2,100,-1,-1,0.000257
lookup,std_find,100000,3,100,89383,100,25.435986
lookup,unordered_map_find,100000,3,100,89383,100,0.004226
lookup,std_find,200000,3,100,130886,100,37.700578
lookup,unordered_map_find,200000,3,100,130886,100,0.004365
lookup,std_find,400000,3,100,92777,100,26.464514
lookup,unordered_map_find,400000,3,100,92777,100,0.003739
lookup,std_find,800000,3,100,1036915,0,233.414302
lookup,unordered_map_find,800000,3,100,1036915,0,0.002729
pop,erase_begin,2500000,3,100,-1,-1,20.391031
pop,pop_back,2500000,3,100,-1,-1,0.000279
pop,erase_begin,5000000,3,100,-1,-1,47.731056
pop,pop_back,5000000,3,100,-1,-1,0.000343
pop,erase_begin,7500000,3,100,-1,-1,105.578049
pop,pop_back,7500000,3,100,-1,-1,0.000305
pop,erase_begin,10000000,3,100,-1,-1,174.843837
pop,pop_back,10000000,3,100,-1,-1,0.000222
lookup,std_find,100000,4,100,89383,100,25.907802
lookup,unordered_map_find,100000,4,100,89383,100,0.003748
lookup,std_find,200000,4,100,130886,100,38.341333
lookup,unordered_map_find,200000,4,100,130886,100,0.004029
lookup,std_find,400000,4,100,92777,100,26.32839
lookup,unordered_map_find,400000,4,100,92777,100,0.004028
lookup,std_find,800000,4,100,1036915,0,230.210059
lookup,unordered_map_find,800000,4,100,1036915,0,0.002712
pop,erase_begin,2500000,4,100,-1,-1,20.331305
pop,pop_back,2500000,4,100,-1,-1,0.000291
pop,erase_begin,5000000,4,100,-1,-1,48.940414
pop,pop_back,5000000,4,100,-1,-1,0.000386
pop,erase_begin,7500000,4,100,-1,-1,104.641153
pop,pop_back,7500000,4,100,-1,-1,0.000332
pop,erase_begin,10000000,4,100,-1,-1,180.487519
pop,pop_back,10000000,4,100,-1,-1,0.000211
lookup,std_find,100000,5,100,89383,100,25.947713
lookup,unordered_map_find,100000,5,100,89383,100,0.004176
lookup,std_find,200000,5,100,130886,100,37.796267
lookup,unordered_map_find,200000,5,100,130886,100,0.004026
lookup,std_find,400000,5,100,92777,100,26.645751
lookup,unordered_map_find,400000,5,100,92777,100,0.003814
lookup,std_find,800000,5,100,1036915,0,232.637576
lookup,unordered_map_find,800000,5,100,1036915,0,0.002687
pop,erase_begin,2500000,5,100,-1,-1,20.520293
pop,pop_back,2500000,5,100,-1,-1,0.000231
pop,erase_begin,5000000,5,100,-1,-1,49.274833
pop,pop_back,5000000,5,100,-1,-1,0.000214
pop,erase_begin,7500000,5,100,-1,-1,102.394459
pop,pop_back,7500000,5,100,-1,-1,0.00031
pop,erase_begin,10000000,5,100,-1,-1,188.860439
pop,pop_back,10000000,5,100,-1,-1,0.000294
lookup,std_find,100000,6,100,89383,100,25.204519
lookup,unordered_map_find,100000,6,100,89383,100,0.00376
lookup,std_find,200000,6,100,130886,100,38.831799
lookup,unordered_map_find,200000,6,100,130886,100,0.004096
lookup,std_find,400000,6,100,92777,100,26.973095
lookup,unordered_map_find,400000,6,100,92777,100,0.004329
lookup,std_find,800000,6,100,1036915,0,248.446074
lookup,unordered_map_find,800000,6,100,1036915,0,0.002767
pop,erase_begin,2500000,6,100,-1,-1,22.624176
pop,pop_back,2500000,6,100,-1,-1,0.000277
pop,erase_begin,5000000,6,100,-1,-1,48.935415
pop,pop_back,5000000,6,100,-1,-1,0.000321
pop,erase_begin,7500000,6,100,-1,-1,104.178616
pop,pop_back,7500000,6,100,-1,-1,0.000303
pop,erase_begin,10000000,6,100,-1,-1,201.799424
pop,pop_back,10000000,6,100,-1,-1,0.000212
